year_month,monthly_seasonal_max,monthly_seasonal_min,monthly_seasonal_mean,monthly_seasonal_std,point_count,monthly_seasonal_amplitude,city,feature
2026-01,2.081856130173323,-2.4533239335475225,0.006541031994032049,1.079205879076109,31,4.535180063720846,Suva,temperature_celsius
2026-02,2.0067076345386177,-2.709823915414018,-0.10084358263753705,1.1658062133564036,28,4.716531549952636,Suva,temperature_celsius
2026-03,2.5752156613813,-4.127586855866731,0.0857565311244041,1.3476791463219397,31,6.702802517248031,Suva,temperature_celsius
2026-04,2.7097288043617667,-5.641753334111437,0.008919857445320882,1.5172092487430318,30,8.351482138473203,Suva,temperature_celsius
2026-05,2.753096342787214,-2.263890596624294,-0.07062901113597615,1.2680689083375334,15,5.016986939411508,Suva,temperature_celsius
2024-05,8.112925862826474,-3.3561813357657044,3.284097102085488,3.6445771194606693,16,11.469107198592178,Suva,humidity
2024-06,8.792216043832948,-37.93100103756174,-0.11192979390701767,9.795330874188682,30,46.723217081394694,Suva,humidity
2024-07,7.3161198454232625,-28.052006749634607,-0.5513387072334276,8.120331140490029,31,35.36812659505787,Suva,humidity
2024-08,7.874815396234164,-18.20605455118195,-0.12244998702559615,6.562534826262738,31,26.08086994741611,Suva,humidity
2024-09,6.537684548520256,-12.003950092735902,-0.11273333491803192,5.542366529380208,30,18.54163464125616,Suva,humidity
2024-10,4.9523653732533415,-10.344210483161191,0.027934234255115976,4.101486682492242,31,15.296575856414533,Suva,humidity
2024-11,5.2048013371559225,-8.524078373000913,-0.06569981929886479,3.376269288197418,30,13.728879710156836,Suva,humidity
2024-12,5.820457761416668,-4.900636309708776,0.012211131466866462,3.047264577522618,31,10.721094071125444,Suva,humidity
2025-01,4.996493147973304,-5.589376136717,0.1168031918163134,2.67733430547578,31,10.585869284690304,Suva,humidity
2025-02,4.719906699727706,-5.660679442312717,0.13535296916274778,2.678234065985051,28,10.380586142040423,Suva,humidity
