scope,city,var_1,var_2,pearson,spearman,mutual_information,distance_correlation,cross_correlation,best_lag
city,Tokyo,wind_kph,air_quality_PM2.5,-0.1095862929786005,-0.1004810483059102,0.0004594730919214,0.1075300507432412,-0.260785355846105,-1.0
city,Tokyo,wind_kph,air_quality_PM10,-0.087867843784785,-0.0761086872365389,0.0401510948098393,0.0901252856212223,-0.2405587059698029,-1.0
city,Tokyo,visibility_km,air_quality_PM2.5,0.0191736557269022,0.0581977064077507,0.0250936332266851,0.0886648306143472,0.0900471643715166,12.0
city,Tokyo,visibility_km,air_quality_PM10,0.0226598632416518,0.060719861442706,0.0132403677064194,0.0932320620508504,0.100233377368826,12.0
city,Tokyo,air_quality_PM2.5,air_quality_PM10,0.964475984635036,0.9784920624134844,2.1736711256344665,0.9655366428107396,0.9644759846350356,0.0
city,Baghdad,temperature_celsius,humidity,-0.7961334812839723,-0.8674035019255292,0.7456706605633805,0.8077331399844422,-0.7961334812839725,0.0
city,Baghdad,temperature_celsius,pressure_mb,-0.8811643672445728,-0.873284520090928,0.8392063112009298,0.8785218876228015,-0.8829038698874676,-1.0
city,Baghdad,temperature_celsius,air_quality_PM2.5,-0.0009819198081279,-0.0328066636036348,0.0484950509064652,0.1287219005330554,-0.0705467213127519,10.0
city,Baghdad,humidity,precip_mm,0.1964100390274437,0.2695437640007798,0.0287493152465003,0.2536498409286183,0.1964100390274437,0.0
city,Baghdad,wind_kph,air_quality_PM2.5,-0.1015553379294472,-0.1083944280911861,0.0338664577880054,0.1336835883729963,-0.1053209004932271,-1.0
city,Baghdad,wind_kph,air_quality_PM10,0.0246032325977,0.0387984924901213,0.0,0.0918217944268423,0.1523624204941854,5.0
city,Baghdad,visibility_km,air_quality_PM2.5,-0.161959084528186,-0.2357817467455959,0.020072306351349,0.2061773078131479,-0.161959084528186,0.0
city,Baghdad,visibility_km,air_quality_PM10,-0.1079039454209461,-0.1713427942719335,0.0291144713379283,0.1605153723431824,-0.1079039454209462,0.0
city,Baghdad,air_quality_PM2.5,air_quality_PM10,0.7813175604079968,0.8033694860396896,0.6686851153444655,0.7911472021155123,0.7813175604079968,0.0
city,Bern,temperature_celsius,humidity,-0.7075798296404451,-0.6722821922799171,0.7730916760313793,0.6792643188757976,-0.7075798296404442,0.0
city,Bern,temperature_celsius,pressure_mb,-0.0111760793938179,-0.0789035808206454,0.1311913439736738,0.205648267657204,0.089828239825671,-28.0
