0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
28.756317,28.624725,27.884825,28.060947,27.951262,28.424597,28.383816,28.554281,29.254072,28.957981,28.943636,28.187614,28.755928,28.82972,28.163837,28.593002,28.740917,29.027218,28.978941,28.69816
14.725719,16.382374,17.190987,16.171928,17.244545,15.7256565,14.551781,15.822464,16.271484,16.67941,17.486471,18.251007,18.260153,19.00606,17.88188,18.771168,17.746527,17.63175,18.91487,18.88084
17.007137,19.099655,19.903957,21.86729,19.348003,12.222517,18.07911,21.295776,20.352404,20.582815,19.500204,19.705847,19.332901,19.063425,18.479612,15.556091,16.63203,18.496311,12.165344,16.988657
6.881011,8.558514,9.47802,10.607508,10.679841,8.869631,7.7032857,7.249145,9.374673,8.904383,10.434752,8.981169,9.202698,8.839935,7.9528904,10.133082,10.798058,10.172539,11.662113,10.72473
24.59676,23.81135,24.634697,24.953993,22.565847,25.470081,25.584293,25.067719,24.521597,25.142126,25.351418,24.937147,19.181097,19.351992,22.39689,23.332266,23.23502,19.980835,20.16004,22.530724
14.572863,12.974899,13.006554,13.331668,12.716351,14.051342,14.930273,14.020424,14.900961,13.6690855,14.572304,12.955968,13.3119955,14.126147,14.983684,16.380373,16.008871,14.427753,14.646008,14.396721
25.356365,23.116009,21.548418,21.735895,23.156548,22.882484,22.611614,22.021917,22.081028,21.456417,22.037264,22.470984,23.288599,23.510199,23.682583,23.467886,23.687155,24.23347,23.763664,23.821268
25.476925,24.144733,24.41405,24.724169,24.505428,25.028746,25.25558,24.002256,24.50483,24.042881,24.69811,24.204165,24.51951,24.109943,24.837837,24.603888,24.272066,25.393723,24.748346,24.600912
31.822247,31.049232,30.840359,31.313612,31.149862,31.311443,32.288166,30.717154,31.036812,31.773394,31.285011,30.292273,31.732296,32.66183,32.73032,34.143135,34.077137,32.96319,32.84109,33.24245
6.148209,5.3142943,5.234628,7.052581,7.9795036,5.1308274,4.7048526,3.0019639,3.7870097,6.509936,2.1062856,4.369029,6.4650955,6.0000215,5.9550786,7.177031,6.1544814,5.8171186,6.482491,6.4953136
18.603466,18.315266,19.589828,19.604588,19.626143,18.911545,19.351547,18.25284,19.920269,20.46336,19.697859,18.297089,19.94108,19.46553,20.04235,21.133404,20.103706,20.86457,21.236574,19.747972
23.88698,21.928755,21.853136,22.619638,21.11781,22.135103,22.860472,22.928253,23.144033,22.816828,22.327862,22.518051,22.91981,21.363363,21.818619,21.376421,22.280205,21.247757,22.191893,22.38988
8.5548935,9.497031,9.906029,12.110885,13.272969,9.875817,8.506468,9.582329,10.176573,11.667851,10.202286,8.328835,8.497823,10.357443,11.963675,12.736341,12.227774,11.398888,11.354399,11.437109
24.499605,23.24478,22.50662,21.98475,22.4027,23.477457,23.434816,23.494364,23.581442,23.87623,23.106718,23.019197,23.727936,23.153566,22.500135,21.847874,22.703362,22.351435,23.201193,23.15753
30.583439,28.820774,29.816826,30.289343,27.394192,29.033737,30.334032,28.079418,29.903236,30.19172,30.154652,29.819784,30.242485,30.414215,29.703596,29.815128,29.959282,28.3875,29.683254,28.01698
5.57693,6.6333146,5.2178574,7.9297786,5.07757,6.029915,4.8033905,4.566223,7.0629234,8.95968,7.446603,4.8363733,6.1277685,8.351208,7.8482656,8.734286,7.8143845,3.8661861,7.446333,9.67465
26.588276,24.121132,25.11198,26.799618,27.283747,25.678661,26.057552,27.573109,27.868484,28.818537,27.936821,26.799334,26.908089,25.66699,26.134743,27.538267,27.225801,25.409624,26.867842,26.719028
19.123346,18.062046,27.212013,21.81559,20.553907,21.044489,21.942776,20.2962,19.84554,19.783306,26.31999,20.257347,20.14919,19.895222,20.236723,20.599562,21.11894,20.553751,21.098513,20.630749
8.214394,8.567689,10.206991,9.847846,11.143309,12.659408,8.428267,10.297841,11.110761,11.9424305,12.955365,8.965421,11.52235,12.45673,10.84481,11.563262,13.743978,15.44742,14.009431,11.237778
14.023429,14.529389,14.666553,13.547685,14.287392,15.78239,15.685057,14.583317,15.919594,16.965347,16.86894,16.614239,14.552759,15.601477,16.235844,13.901382,13.890572,13.921821,15.931572,14.850652
4.9764566,5.5380836,5.5410166,9.045099,8.582186,7.081657,6.5481176,5.1478806,7.794629,7.9791517,1.5921392,3.8698373,6.1718707,6.719513,7.2270045,6.2933846,6.806281,6.8561797,6.266564,6.886285
30.780502,28.659866,30.106287,28.875557,30.566513,28.98592,29.025734,29.483915,28.920372,30.005676,28.719555,29.480722,30.7289,31.239067,30.826841,28.263634,26.916763,26.986935,28.645864,27.437664
15.844225,16.609894,17.0264,17.956587,17.678911,16.468056,14.499294,13.493809,13.758507,14.312425,13.805125,13.460094,12.377584,14.674505,14.698426,18.399256,21.975376,19.592634,19.54086,16.880438
9.041902,11.360139,11.339448,12.13532,10.634804,8.004981,9.525868,10.373833,12.290497,11.67106,10.282245,9.819112,10.712174,11.367309,12.495232,13.079605,13.170511,13.4892235,15.035987,14.5986185
